Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Timestamp
0,46.0,-301.0,-83.0,0.1961669921875,-0.5390625,-0.881103515625,-30.84491712825726,-10.753272585208203,1,56.5,-309.0,-94.5,0.19384765625,-0.53564453125,-0.8775634765625,-30.795452577049417,-10.677326474744783,2,51.5,-302.0,-83.5,0.193603515625,-0.5335693359375,-0.8807373046875,-30.612575582772706,-10.647795851825313,3,63.0,-306.5,-94.5,0.1943359375,-0.5374755859375,-0.882568359375,-30.741775545776413,-10.650872231932224,2021-03-22 06:11:51.670748
0,55.0,-294.5,-105.5,0.1961669921875,-0.5350341796875,-0.879638671875,-30.69629116311752,-10.787307248376907,1,47.5,-300.5,-86.0,0.1934814453125,-0.5391845703125,-0.879638671875,-30.907182857332288,-10.621225116591134,2,52.0,-316.5,-97.5,0.1968994140625,-0.533447265625,-0.8836669921875,-30.507514758833214,-10.80012445563295,3,54.5,-308.5,-73.5,0.1959228515625,-0.5396728515625,-0.8763427734375,-31.00527414359777,-10.778188390422109,2021-03-22 06:11:52.174376
0,49.333333333333336,-302.6666666666667,-74.0,0.19645182291666666,-0.5381673177083334,-0.880615234375,-30.814499110752465,-10.777478893521902,1,71.5,-298.0,-70.5,0.193603515625,-0.53369140625,-0.88720703125,-30.443078913500212,-10.591349552173543,2,59.5,-307.0,-73.5,0.193359375,-0.537109375,-0.8826904296875,-30.727567010444915,-10.599799831581297,3,53.0,-300.5,-83.0,0.188232421875,-0.5369873046875,-0.8839111328125,-30.718868780378333,-10.315873422069963,2021-03-22 06:11:52.677199
0,53.0,-302.5,-79.0,0.197265625,-0.5352783203125,-0.8797607421875,-30.697090695019792,-10.843578088304234,1,39.0,-300.0,-68.0,0.189453125,-0.5361328125,-0.893310546875,-30.420032608171677,-10.306925813157758,2,66.0,-305.5,-77.5,0.1895751953125,-0.5377197265625,-0.8853759765625,-30.704691251926924,-10.370996679214386,3,48.5,-295.5,-59.0,0.1947021484375,-0.53759765625,-0.8741455078125,-30.978605177369133,-10.743862599612179,2021-03-22 06:11:53.181428
0,58.5,-315.0,-88.5,0.192626953125,-0.5355224609375,-0.869140625,-31.02979471087432,-10.685521671197947,1,35.0,-306.0,-81.0,0.193359375,-0.535888671875,-0.8721923828125,-30.95960089415267,-10.696135194067079,2,52.0,-298.6666666666667,-61.666666666666664,0.191650390625,-0.536376953125,-0.881103515625,-30.746818253988305,-10.5251195651678,3,54.0,-322.5,-64.0,0.19189453125,-0.5345458984375,-0.8734130859375,-30.86941566980551,-10.613977024047713,2021-03-22 06:11:53.686564
0,51.5,-298.0,-86.0,0.1932373046875,-0.533203125,-0.8804931640625,-30.604096989901866,-10.632318797259991,1,52.5,-308.0,-84.0,0.195556640625,-0.5352783203125,-0.8768310546875,-30.78779521836543,-10.777746845292171,2,49.5,-289.0,-67.5,0.1951904296875,-0.535888671875,-0.87890625,-30.7610030339782,-10.73704239094322,3,58.0,-305.0,-81.0,0.1939697265625,-0.534912109375,-0.87060546875,-30.952125908116887,-10.750158094165869,2021-03-22 06:11:54.191140
0,42.5,-306.5,-81.0,0.194091796875,-0.533935546875,-0.8824462890625,-30.580592092379902,-10.657032277428904,1,53.5,-298.5,-87.0,0.18994140625,-0.5355224609375,-0.8797607421875,-30.753298003888943,-10.448769576027837,2,53.5,-306.5,-72.0,0.1925048828125,-0.5325927734375,-0.8819580078125,-30.54007378370399,-10.583262825153657,3,47.5,-303.5,-75.0,0.1949462890625,-0.5341796875,-0.8848876953125,-30.520640210251045,-10.680885259126093,2021-03-22 06:11:54.696761
0,55.5,-292.5,-84.0,0.191162109375,-0.535400390625,-0.8719482421875,-30.955803067307013,-10.582762441382123,1,48.0,-295.6666666666667,-78.0,0.194091796875,-0.5381673177083334,-0.8772786458333334,-30.920516699400153,-10.679681130526697,2,44.5,-308.5,-63.5,0.189697265625,-0.5396728515625,-0.886962890625,-30.751361760828782,-10.354373793597535,3,48.0,-312.5,-83.0,0.1900634765625,-0.533203125,-0.8797607421875,-30.643092901640877,-10.468050528301685,2021-03-22 06:11:55.201690
0,63.0,-310.0,-80.0,0.192138671875,-0.540283203125,-0.884521484375,-30.831394385275765,-10.50327958362113,1,67.0,-293.0,-76.0,0.185791015625,-0.5341796875,-0.87646484375,-30.802946502908803,-10.258793880389918,2,50.5,-298.5,-62.0,0.1851806640625,-0.5321044921875,-0.88232421875,-30.5484820262378,-10.187240821894257,3,62.0,-302.0,-71.33333333333333,0.194091796875,-0.531494140625,-0.8818359375,-30.48049913657052,-10.675355793176983,2021-03-22 06:11:55.702953
0,76.5,-308.0,-95.5,0.1949462890625,-0.53759765625,-0.8746337890625,-30.96527150664374,-10.753360348215304,1,73.0,-297.0,-74.5,0.192138671875,-0.54345703125,-0.879150390625,-31.128052760093887,-10.531166066667051,2,70.5,-305.5,-44.0,0.1895751953125,-0.53564453125,-0.88037109375,-30.745075096380347,-10.423006541241314,3,54.0,-308.5,-73.0,0.1900634765625,-0.5350341796875,-0.880126953125,-30.719059585723244,-10.45508915056082,2021-03-22 06:11:56.204376
